Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2170442,"de_A10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782044",SRX1782044,"Gray Camp","Feb 08, 2017"
GSM2170443,"de_A11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782045",SRX1782045,"Gray Camp","Feb 08, 2017"
GSM2170444,"de_A2","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782046",SRX1782046,"Gray Camp","Feb 08, 2017"
GSM2170445,"de_A3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782047",SRX1782047,"Gray Camp","Feb 08, 2017"
GSM2170446,"de_A5","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782048",SRX1782048,"Gray Camp","Feb 08, 2017"
GSM2170447,"de_A7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782049",SRX1782049,"Gray Camp","Feb 08, 2017"
GSM2170448,"de_A8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782050",SRX1782050,"Gray Camp","Feb 08, 2017"
GSM2170449,"de_B11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782051",SRX1782051,"Gray Camp","Feb 08, 2017"
GSM2170450,"de_B1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782052",SRX1782052,"Gray Camp","Feb 08, 2017"
GSM2170451,"de_B2","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782053",SRX1782053,"Gray Camp","Feb 08, 2017"
GSM2170452,"de_B3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782054",SRX1782054,"Gray Camp","Feb 08, 2017"
GSM2170453,"de_B4","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782055",SRX1782055,"Gray Camp","Feb 08, 2017"
GSM2170454,"de_B7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782056",SRX1782056,"Gray Camp","Feb 08, 2017"
GSM2170455,"de_B8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782057",SRX1782057,"Gray Camp","Feb 08, 2017"
GSM2170456,"de_B9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782058",SRX1782058,"Gray Camp","Feb 08, 2017"
GSM2170457,"de_C10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782059",SRX1782059,"Gray Camp","Feb 08, 2017"
GSM2170458,"de_C12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782060",SRX1782060,"Gray Camp","Feb 08, 2017"
GSM2170459,"de_C1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782061",SRX1782061,"Gray Camp","Feb 08, 2017"
GSM2170460,"de_C4","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782062",SRX1782062,"Gray Camp","Feb 08, 2017"
GSM2170461,"de_C5","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782063",SRX1782063,"Gray Camp","Feb 08, 2017"
GSM2170462,"de_C6","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782064",SRX1782064,"Gray Camp","Feb 08, 2017"
GSM2170463,"de_C7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782065",SRX1782065,"Gray Camp","Feb 08, 2017"
GSM2170464,"de_C9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782066",SRX1782066,"Gray Camp","Feb 08, 2017"
GSM2170465,"de_D11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782067",SRX1782067,"Gray Camp","Feb 08, 2017"
GSM2170466,"de_D12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782068",SRX1782068,"Gray Camp","Feb 08, 2017"
GSM2170467,"de_D2","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782069",SRX1782069,"Gray Camp","Feb 08, 2017"
GSM2170468,"de_D3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782070",SRX1782070,"Gray Camp","Feb 08, 2017"
GSM2170469,"de_D4","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782071",SRX1782071,"Gray Camp","Feb 08, 2017"
GSM2170470,"de_D5","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782072",SRX1782072,"Gray Camp","Feb 08, 2017"
GSM2170471,"de_D6","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782073",SRX1782073,"Gray Camp","Feb 08, 2017"
