Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,STRAIN,cross,Tissue
SRR1041728,RNA-Seq,43,1099364832,PRJNA195938,SAMN02429298,931755454,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",16-cell stage blastomere,SRX386062,GSM1278009,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278009,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041729,RNA-Seq,43,691051151,PRJNA195938,SAMN02429299,622968148,GEO,public,"""sra_fastq""","""s3_ncbi_gs""","""gs.US_ncbi.public_s3.us-east-1""",16-cell stage blastomere,SRX386063,GSM1278010,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278010,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041730,RNA-Seq,43,545228949,PRJNA195938,SAMN02429266,513683916,GEO,public,"""fastq_sra""","""s3_gs_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",16-cell stage blastomere,SRX386064,GSM1278011,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278011,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041731,RNA-Seq,43,612017624,PRJNA195938,SAMN02429268,559690634,GEO,public,"""sra_fastq""","""gs_ncbi_s3""","""ncbi.public_gs.US_s3.us-east-1""",16-cell stage blastomere,SRX386065,GSM1278012,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278012,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041732,RNA-Seq,43,588491206,PRJNA195938,SAMN02429267,541321585,GEO,public,"""fastq_sra""","""ncbi_gs_s3""","""ncbi.public_gs.US_s3.us-east-1""",16-cell stage blastomere,SRX386066,GSM1278013,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278013,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041733,RNA-Seq,43,382965482,PRJNA195938,SAMN02429271,390427935,GEO,public,"""sra_fastq""","""ncbi_s3_gs""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX386067,GSM1278014,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278014,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041734,RNA-Seq,43,317970122,PRJNA195938,SAMN02429269,295738332,GEO,public,"""sra_fastq""","""ncbi_s3_gs""","""ncbi.public_gs.US_s3.us-east-1""",16-cell stage blastomere,SRX386068,GSM1278015,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278015,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041735,RNA-Seq,43,450258934,PRJNA195938,SAMN02429270,399267129,GEO,public,"""sra_fastq""","""gs_s3_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",16-cell stage blastomere,SRX386069,GSM1278016,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278016,16-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041736,RNA-Seq,43,327884718,PRJNA195938,SAMN02429275,328755955,GEO,public,"""fastq_sra""","""s3_ncbi_gs""","""gs.US_ncbi.public_s3.us-east-1""",8-cell stage blastomere,SRX386070,GSM1278017,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278017,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
SRR1041737,RNA-Seq,43,227973745,PRJNA195938,SAMN02429276,246501796,GEO,public,"""fastq_sra""","""gs_s3_ncbi""","""gs.US_ncbi.public_s3.us-east-1""",8-cell stage blastomere,SRX386071,GSM1278018,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-07-22T00:00:00Z,GSM1278018,8-cell stage blastomere,SRP020490,CAST/EiJ(mother) x C57BL/6J(father),first generation cross,-
