Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Strain
SRR1267982,RNA-Seq,100,5781938000,PRJNA246056,SAMN02742572,4102874483,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",Four-cell Embryo Blastomere,SRX530973,GSM1377898,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:23:00Z,1,GSM1377898,blastomere,SRP041618,C57BL/6
SRR1267945,RNA-Seq,100,5163580100,PRJNA246056,SAMN02742592,3140477576,GEO,public,"""sra_run.zq_fastq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",zygote,SRX530936,GSM1377861,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:26:00Z,1,GSM1377861,zygote,SRP041618,C57BL/6
SRR1267950,RNA-Seq,100,1150140700,PRJNA246056,SAMN02742596,657711782,GEO,public,"""run.zq_sra_fastq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",zygote,SRX530941,GSM1377866,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:17:00Z,1,GSM1377866,zygote,SRP041618,C57BL/6
SRR1267953,RNA-Seq,100,4039192300,PRJNA246056,SAMN02742617,2948646743,GEO,public,"""run.zq_fastq_sra""","""s3_ncbi_gs""","""ncbi.public_s3.us-east-1_gs.US""",Two-cell Embryo Blastomere,SRX530944,GSM1377869,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:18:00Z,1,GSM1377869,blastomere,SRP041618,C57BL/6
SRR1267957,RNA-Seq,100,4764115300,PRJNA246056,SAMN02742603,3382261573,GEO,public,"""sra_run.zq_fastq""","""s3_ncbi_gs""","""ncbi.public_gs.US_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530948,GSM1377873,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:21:00Z,1,GSM1377873,blastomere,SRP041618,C57BL/6
SRR1267959,RNA-Seq,100,4299284000,PRJNA246056,SAMN02742601,3080441358,GEO,public,"""sra_fastq_run.zq""","""gs_ncbi_s3""","""ncbi.public_gs.US_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530950,GSM1377875,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:31:00Z,1,GSM1377875,blastomere,SRP041618,C57BL/6
SRR1267960,RNA-Seq,100,3511675600,PRJNA246056,SAMN02742600,2476034591,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""s3.us-east-1_gs.US_ncbi.public""",Two-cell Embryo Blastomere,SRX530951,GSM1377876,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:18:00Z,1,GSM1377876,blastomere,SRP041618,C57BL/6
SRR1267963,RNA-Seq,100,3865006400,PRJNA246056,SAMN02742610,2671332454,GEO,public,"""fastq_run.zq_sra""","""gs_s3_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",Two-cell Embryo Blastomere,SRX530954,GSM1377879,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:18:00Z,1,GSM1377879,blastomere,SRP041618,C57BL/6
SRR1267966,RNA-Seq,100,4221759100,PRJNA246056,SAMN02742613,2860347153,GEO,public,"""fastq_sra_run.zq""","""ncbi_gs_s3""","""s3.us-east-1_ncbi.public_gs.US""",Two-cell Embryo Blastomere,SRX530957,GSM1377882,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:19:00Z,1,GSM1377882,blastomere,SRP041618,C57BL/6
SRR1267970,RNA-Seq,100,4196208400,PRJNA246056,SAMN02742607,2786849169,GEO,public,"""fastq_sra_run.zq""","""s3_gs_ncbi""","""gs.US_ncbi.public_s3.us-east-1""",Two-cell Embryo Blastomere,SRX530961,GSM1377886,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-08-01T00:00:00Z,2014-05-02T11:18:00Z,1,GSM1377886,blastomere,SRP041618,C57BL/6
