Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Passages,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Treatment,create_date,version
SRR1699874,RNA-Seq,51,170242335,PRJNA269761,SAMN03256840,108411998,human embryonic stem cells,GEO,public,"""fastq_run.zq_sra""","""s3_gs_ncbi""","""s3.us-east-1_gs.US_ncbi.public""",SRX802398,GSM1562387,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562387,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699875,RNA-Seq,51,253644675,PRJNA269761,SAMN03256877,172848989,human embryonic stem cells,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""s3.us-east-1_gs.US_ncbi.public""",SRX802399,GSM1562388,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562388,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699876,RNA-Seq,51,184070679,PRJNA269761,SAMN03256864,109152436,human embryonic stem cells,GEO,public,"""sra_run.zq_fastq""","""s3_gs_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",SRX802400,GSM1562389,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562389,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699877,RNA-Seq,51,173390361,PRJNA269761,SAMN03256873,119099919,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX802401,GSM1562390,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562390,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699878,RNA-Seq,51,165078585,PRJNA269761,SAMN03256793,111630081,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",SRX802402,GSM1562391,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562391,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699879,RNA-Seq,51,163927668,PRJNA269761,SAMN03256792,106544877,human embryonic stem cells,GEO,public,"""fastq_run.zq_sra""","""s3_ncbi_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX802403,GSM1562392,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562392,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699880,RNA-Seq,51,224901942,PRJNA269761,SAMN03256787,136905329,human embryonic stem cells,GEO,public,"""sra_run.zq_fastq""","""gs_ncbi_s3""","""s3.us-east-1_ncbi.public_gs.US""",SRX802404,GSM1562393,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562393,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699881,RNA-Seq,51,168843915,PRJNA269761,SAMN03256923,99058840,human embryonic stem cells,GEO,public,"""fastq_sra_run.zq""","""gs_ncbi_s3""","""s3.us-east-1_gs.US_ncbi.public""",SRX802405,GSM1562394,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562394,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699882,RNA-Seq,51,286333125,PRJNA269761,SAMN03256879,196745508,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""gs_ncbi_s3""","""s3.us-east-1_ncbi.public_gs.US""",SRX802406,GSM1562395,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562395,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699883,RNA-Seq,51,310401096,PRJNA269761,SAMN03256744,202343313,human embryonic stem cells,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""s3.us-east-1_gs.US_ncbi.public""",SRX802407,GSM1562396,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562396,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699884,RNA-Seq,51,402975480,PRJNA269761,SAMN03256909,277578465,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX802408,GSM1562397,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562397,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699885,RNA-Seq,51,225041019,PRJNA269761,SAMN03256884,133713418,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""ncbi_gs_s3""","""ncbi.public_s3.us-east-1_gs.US""",SRX802409,GSM1562398,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562398,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699886,RNA-Seq,51,212395314,PRJNA269761,SAMN03256754,124442787,human embryonic stem cells,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""s3.us-east-1_ncbi.public_gs.US""",SRX802410,GSM1562399,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562399,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699887,RNA-Seq,51,229516575,PRJNA269761,SAMN03256815,135801173,human embryonic stem cells,GEO,public,"""fastq_run.zq_sra""","""ncbi_s3_gs""","""s3.us-east-1_ncbi.public_gs.US""",SRX802411,GSM1562400,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562400,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699888,RNA-Seq,51,136081719,PRJNA269761,SAMN03256773,80109565,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""ncbi_gs_s3""","""gs.US_ncbi.public_s3.us-east-1""",SRX802412,GSM1562401,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562401,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699889,RNA-Seq,51,172022235,PRJNA269761,SAMN03256746,103186092,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""s3_gs_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",SRX802413,GSM1562402,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562402,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699890,RNA-Seq,51,179359809,PRJNA269761,SAMN03256846,104868643,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""gs_ncbi_s3""","""s3.us-east-1_gs.US_ncbi.public""",SRX802414,GSM1562403,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562403,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699891,RNA-Seq,51,146410545,PRJNA269761,SAMN03256753,92432657,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""ncbi_s3_gs""","""ncbi.public_s3.us-east-1_gs.US""",SRX802415,GSM1562404,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562404,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699892,RNA-Seq,51,207673683,PRJNA269761,SAMN03256811,121988728,human embryonic stem cells,GEO,public,"""sra_run.zq_fastq""","""s3_gs_ncbi""","""gs.US_s3.us-east-1_ncbi.public""",SRX802416,GSM1562405,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562405,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699893,RNA-Seq,51,262164072,PRJNA269761,SAMN03256913,182480258,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""gs_ncbi_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX802417,GSM1562406,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562406,single H1 hESC,SRP050992,not sorted,2014-12-09T15:55:00Z,1
SRR1699894,RNA-Seq,51,307875066,PRJNA269761,SAMN03256899,208928284,human embryonic stem cells,GEO,public,"""fastq_sra_run.zq""","""s3_gs_ncbi""","""gs.US_ncbi.public_s3.us-east-1""",SRX802418,GSM1562407,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562407,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699895,RNA-Seq,51,332217621,PRJNA269761,SAMN03256918,210290045,human embryonic stem cells,GEO,public,"""run.zq_fastq""","""ncbi_s3_gs""","""gs.US_ncbi.public_s3.us-east-1""",SRX802419,GSM1562408,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562408,single H1 hESC,SRP050992,not sorted,-,-
SRR1699896,RNA-Seq,51,325231182,PRJNA269761,SAMN03256794,191588616,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""s3_ncbi_gs""","""gs.US_ncbi.public_s3.us-east-1""",SRX802420,GSM1562409,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562409,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699897,RNA-Seq,51,263738289,PRJNA269761,SAMN03256894,161542540,human embryonic stem cells,GEO,public,"""fastq_sra_run.zq""","""ncbi_gs_s3""","""s3.us-east-1_gs.US_ncbi.public""",SRX802421,GSM1562410,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562410,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699898,RNA-Seq,51,299778510,PRJNA269761,SAMN03256831,175824287,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""gs_ncbi_s3""","""ncbi.public_s3.us-east-1_gs.US""",SRX802422,GSM1562411,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562411,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699899,RNA-Seq,51,213130836,PRJNA269761,SAMN03256756,126552279,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""gs_ncbi_s3""","""gs.US_ncbi.public_s3.us-east-1""",SRX802423,GSM1562412,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562412,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699900,RNA-Seq,51,255313701,PRJNA269761,SAMN03256767,150506250,human embryonic stem cells,GEO,public,"""sra_run.zq_fastq""","""s3_gs_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",SRX802424,GSM1562413,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562413,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699901,RNA-Seq,51,305741532,PRJNA269761,SAMN03256917,178622554,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""ncbi_s3_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX802425,GSM1562414,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562414,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699902,RNA-Seq,51,241468119,PRJNA269761,SAMN03256836,142190079,human embryonic stem cells,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""s3.us-east-1_ncbi.public_gs.US""",SRX802426,GSM1562415,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562415,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699903,RNA-Seq,51,198923817,PRJNA269761,SAMN03256563,116754116,human embryonic stem cells,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX802427,GSM1562416,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562416,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699904,RNA-Seq,51,335945109,PRJNA269761,SAMN03256615,210541320,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""ncbi_gs_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX802428,GSM1562417,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562417,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699905,RNA-Seq,51,550505169,PRJNA269761,SAMN03256550,349375055,human embryonic stem cells,GEO,public,"""sra_run.zq_fastq""","""ncbi_gs_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX802429,GSM1562418,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562418,single H1 hESC,SRP050992,not sorted,2014-12-09T15:57:00Z,1
SRR1699906,RNA-Seq,51,218512968,PRJNA269761,SAMN03256622,129165279,human embryonic stem cells,GEO,public,"""run.zq_fastq_sra""","""ncbi_gs_s3""","""s3.us-east-1_ncbi.public_gs.US""",SRX802430,GSM1562419,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562419,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699907,RNA-Seq,51,215838324,PRJNA269761,SAMN03256490,125745683,human embryonic stem cells,GEO,public,"""run.zq_sra_fastq""","""ncbi_s3_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX802431,GSM1562420,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562420,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
SRR1699908,RNA-Seq,51,241884432,PRJNA269761,SAMN03256513,143186818,human embryonic stem cells,GEO,public,"""sra_fastq_run.zq""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",SRX802432,GSM1562421,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-35,ILLUMINA,2015-06-24T00:00:00Z,GSM1562421,single H1 hESC,SRP050992,not sorted,2014-12-09T15:56:00Z,1
