Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,c1_chip_id,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,experiment_sample_name,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR1974543,postnatal 54 years,RNA-Seq,150,402035250,PRJNA281204,SAMN03486326,182643998,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995861,AB_S8,GSM1657871,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657871,Brain,SRP057196,cortex
SRR1974544,postnatal 54 years,RNA-Seq,150,412908750,PRJNA281204,SAMN03486327,188997062,1772078217,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995862,AB_S8,GSM1657872,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657872,Brain,SRP057196,cortex
SRR1974545,postnatal 54 years,RNA-Seq,150,394138350,PRJNA281204,SAMN03486328,180765693,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995863,AB_S8,GSM1657873,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657873,Brain,SRP057196,cortex
SRR1974546,postnatal 54 years,RNA-Seq,150,375329850,PRJNA281204,SAMN03486329,176097747,1772078217,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995864,AB_S8,GSM1657874,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657874,Brain,SRP057196,cortex
SRR1974547,postnatal 54 years,RNA-Seq,150,311182050,PRJNA281204,SAMN03486330,144000857,1772078217,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995865,AB_S8,GSM1657875,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657875,Brain,SRP057196,cortex
SRR1974548,postnatal 54 years,RNA-Seq,150,404821950,PRJNA281204,SAMN03486331,188730934,1772078217,oligodendrocytes,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995866,AB_S8,GSM1657876,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657876,Brain,SRP057196,cortex
SRR1974549,postnatal 54 years,RNA-Seq,150,320006700,PRJNA281204,SAMN03486332,153089159,1772078217,oligodendrocytes,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995867,AB_S8,GSM1657877,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657877,Brain,SRP057196,cortex
SRR1974550,postnatal 54 years,RNA-Seq,150,390915150,PRJNA281204,SAMN03486333,178174165,1772078217,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995868,AB_S8,GSM1657878,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657878,Brain,SRP057196,cortex
SRR1974551,postnatal 54 years,RNA-Seq,150,290958000,PRJNA281204,SAMN03486334,136644402,1772078217,hybrid,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995869,AB_S8,GSM1657879,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657879,Brain,SRP057196,cortex
SRR1974552,postnatal 54 years,RNA-Seq,150,448430550,PRJNA281204,SAMN03486335,205206928,1772078217,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995870,AB_S8,GSM1657880,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657880,Brain,SRP057196,cortex
SRR1974553,postnatal 54 years,RNA-Seq,150,290370000,PRJNA281204,SAMN03486336,138421632,1772078217,oligodendrocytes,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX995871,AB_S8,GSM1657881,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657881,Brain,SRP057196,cortex
SRR1974554,postnatal 54 years,RNA-Seq,150,424275000,PRJNA281204,SAMN03486337,203072818,1772078217,hybrid,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX995872,AB_S8,GSM1657882,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-05-20T00:00:00Z,GSM1657882,Brain,SRP057196,cortex
