Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,facs_sorting,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PASSAGE,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2977621,RNA-Seq,51,639237519,PRJNA305280,SAMN04322136,379028629,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467207,not sorted,GSM1964932,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964932,undifferentiated human embryonic stem cells,SRP067036
SRR2977622,RNA-Seq,51,622137576,PRJNA305280,SAMN04322137,369053816,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467208,not sorted,GSM1964933,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964933,undifferentiated human embryonic stem cells,SRP067036
SRR2977623,RNA-Seq,51,603007017,PRJNA305280,SAMN04322138,356853994,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467209,not sorted,GSM1964934,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964934,undifferentiated human embryonic stem cells,SRP067036
SRR2977624,RNA-Seq,51,585754992,PRJNA305280,SAMN04322139,347273167,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467210,not sorted,GSM1964935,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964935,undifferentiated human embryonic stem cells,SRP067036
SRR2977625,RNA-Seq,51,1519385778,PRJNA305280,SAMN04322140,922839714,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467211,not sorted,GSM1964936,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964936,undifferentiated human embryonic stem cells,SRP067036
SRR2977626,RNA-Seq,51,1703872719,PRJNA305280,SAMN04322141,1031799393,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467212,not sorted,GSM1964937,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964937,undifferentiated human embryonic stem cells,SRP067036
SRR2977627,RNA-Seq,51,1789992237,PRJNA305280,SAMN04322142,1083153057,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467213,not sorted,GSM1964938,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964938,undifferentiated human embryonic stem cells,SRP067036
SRR2977628,RNA-Seq,51,1944162738,PRJNA305280,SAMN04322143,1252863348,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467214,FACS sorted by CXCR4+,GSM1964939,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964939,definitive endoderm cell differentiated from H1,SRP067036
SRR2977629,RNA-Seq,51,1791898260,PRJNA305280,SAMN04322144,1143655675,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467215,FACS sorted by CXCR4+,GSM1964941,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964941,definitive endoderm cell differentiated from H1,SRP067036
SRR2977630,RNA-Seq,51,1542683547,PRJNA305280,SAMN04322145,993763129,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467216,FACS sorted by CD31+/CD34+,GSM1964943,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964943,endothelial cells differentiated from H1,SRP067036
SRR2977631,RNA-Seq,51,1598572764,PRJNA305280,SAMN04322146,1031692806,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467217,FACS sorted by CD31+/CD34+,GSM1964945,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964945,endothelial cells differentiated from H1,SRP067036
SRR2977632,RNA-Seq,51,1732113408,PRJNA305280,SAMN04322147,1115286531,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467218,FACS sorted by CD31+/CD34+,GSM1964947,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964947,endothelial cells differentiated from H1,SRP067036
SRR2977633,RNA-Seq,51,1523009685,PRJNA305280,SAMN04322148,963643107,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467219,not sorted,GSM1964948,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1964948,human foreskin fibroblast,SRP067036
SRR2977634,RNA-Seq,51,1583223345,PRJNA305280,SAMN04322149,1006403096,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467220,not sorted,GSM1964949,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1964949,human foreskin fibroblast,SRP067036
SRR2977635,RNA-Seq,51,1606384587,PRJNA305280,SAMN04322150,1015731032,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467221,not sorted,GSM1964950,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1964950,human foreskin fibroblast,SRP067036
SRR2977636,RNA-Seq,51,1591145277,PRJNA305280,SAMN04322151,1033104182,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467222,FACS sorted by mCherry+,GSM1964951,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964951,neuronal progenitor cells differentiated from H1,SRP067036
SRR2977637,RNA-Seq,51,1818187536,PRJNA305280,SAMN04322152,1176885131,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467223,FACS sorted by mCherry+,GSM1964952,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964952,neuronal progenitor cells differentiated from H1,SRP067036
SRR2977638,RNA-Seq,51,1310676336,PRJNA305280,SAMN04322153,831752594,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467224,FACS sorted by TROP2+,GSM1964953,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964953,trophoblast-like cells differentiated from H1,SRP067036
SRR2977639,RNA-Seq,51,1687901610,PRJNA305280,SAMN04322154,1071047870,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467225,FACS sorted by TROP2+,GSM1964954,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964954,trophoblast-like cells differentiated from H1,SRP067036
SRR2977640,RNA-Seq,51,139780800,PRJNA305280,SAMN04322155,88277614,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467226,not sorted,GSM1964955,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964955,H9 cells differentiated for 12 hours,SRP067036
SRR2977641,RNA-Seq,51,148493385,PRJNA305280,SAMN04322156,93719333,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467227,not sorted,GSM1964956,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964956,H9 cells differentiated for 12 hours,SRP067036
SRR2977642,RNA-Seq,51,172008924,PRJNA305280,SAMN04322157,108550412,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467228,not sorted,GSM1964957,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964957,H9 cells differentiated for 12 hours,SRP067036
SRR2977643,RNA-Seq,51,163072449,PRJNA305280,SAMN04322158,103114895,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467229,not sorted,GSM1964958,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964958,H9 cells differentiated for 24 hours,SRP067036
SRR2977644,RNA-Seq,51,165235512,PRJNA305280,SAMN04322159,103944166,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467230,not sorted,GSM1964959,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964959,H9 cells differentiated for 24 hours,SRP067036
SRR2977645,RNA-Seq,51,151490451,PRJNA305280,SAMN04322253,95367471,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467231,not sorted,GSM1964960,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964960,H9 cells differentiated for 24 hours,SRP067036
SRR2977646,RNA-Seq,51,165126066,PRJNA305280,SAMN04322254,104567419,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467232,not sorted,GSM1964961,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964961,H9 cells differentiated for 36 hours,SRP067036
SRR2977647,RNA-Seq,51,130124001,PRJNA305280,SAMN04322255,82534438,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467233,not sorted,GSM1964962,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964962,H9 cells differentiated for 36 hours,SRP067036
SRR2977648,RNA-Seq,51,173972730,PRJNA305280,SAMN04322256,109607264,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467234,not sorted,GSM1964963,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1964963,H9 cells differentiated for 36 hours,SRP067036
