Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type_or_stage,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,create_date,version
SRR3555250,RNA-Seq,192,300559872,PRJNA322308,SAMN05150979,235611107,Definitive endoderm 1,GEO,public,"""fastq_run.zq_sra""","""ncbi_s3_gs""","""s3.us-east-1_gs.US_ncbi.public""",SRX1782044,GSM2170442,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170442,iPSC line TkDA3-4,SRP075475,2016-05-20T14:16:00Z,1
SRR3555251,RNA-Seq,192,317812608,PRJNA322308,SAMN05150980,249301559,Definitive endoderm 1,GEO,public,"""run.zq_sra_fastq""","""ncbi_s3_gs""","""s3.us-east-1_gs.US_ncbi.public""",SRX1782045,GSM2170443,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170443,iPSC line TkDA3-4,SRP075475,2016-05-20T14:16:00Z,1
SRR3555252,RNA-Seq,192,249775296,PRJNA322308,SAMN05150981,197366152,Definitive endoderm 1,GEO,public,"""fastq_run.zq_sra""","""gs_s3_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",SRX1782046,GSM2170444,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170444,iPSC line TkDA3-4,SRP075475,2016-05-20T14:16:00Z,1
SRR3555253,RNA-Seq,192,239778816,PRJNA322308,SAMN05150982,187594651,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782047,GSM2170445,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170445,iPSC line TkDA3-4,SRP075475,2016-05-20T14:16:00Z,1
SRR3555254,RNA-Seq,192,384337728,PRJNA322308,SAMN05150983,300853981,Definitive endoderm 1,GEO,public,"""fastq_run.zq_sra""","""gs_ncbi_s3""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782048,GSM2170446,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170446,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555255,RNA-Seq,192,385362624,PRJNA322308,SAMN05150984,298585703,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""gs.US_ncbi.public_s3.us-east-1""",SRX1782049,GSM2170447,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170447,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555256,RNA-Seq,192,348326016,PRJNA322308,SAMN05150985,273238118,Definitive endoderm 1,GEO,public,"""run.zq_fastq_sra""","""s3_ncbi_gs""","""gs.US_ncbi.public_s3.us-east-1""",SRX1782050,GSM2170448,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170448,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555257,RNA-Seq,192,398213760,PRJNA322308,SAMN05150986,311745487,Definitive endoderm 1,GEO,public,"""sra_fastq_run.zq""","""s3_gs_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",SRX1782051,GSM2170449,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170449,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555258,RNA-Seq,192,195694656,PRJNA322308,SAMN05150987,154030807,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""gs_s3_ncbi""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782052,GSM2170450,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170450,iPSC line TkDA3-4,SRP075475,2016-05-20T14:16:00Z,1
SRR3555259,RNA-Seq,192,308633472,PRJNA322308,SAMN05150988,241195557,Definitive endoderm 1,GEO,public,"""sra_run.zq""","""ncbi_gs_s3""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782053,GSM2170451,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170451,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555260,RNA-Seq,192,283932480,PRJNA322308,SAMN05150989,218840534,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""s3_ncbi_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782054,GSM2170452,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170452,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555261,RNA-Seq,192,409835520,PRJNA322308,SAMN05150990,317630078,Definitive endoderm 1,GEO,public,"""fastq_run.zq_sra""","""s3_gs_ncbi""","""s3.us-east-1_ncbi.public_gs.US""",SRX1782055,GSM2170453,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170453,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555262,RNA-Seq,192,396977664,PRJNA322308,SAMN05150970,307622046,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""ncbi.public_gs.US_s3.us-east-1""",SRX1782056,GSM2170454,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170454,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555263,RNA-Seq,192,220877376,PRJNA322308,SAMN05150971,176266081,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""ncbi_s3_gs""","""gs.US_s3.us-east-1_ncbi.public""",SRX1782057,GSM2170455,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170455,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555264,RNA-Seq,192,299937792,PRJNA322308,SAMN05150972,233401980,Definitive endoderm 1,GEO,public,"""sra_run.zq""","""s3_ncbi_gs""","""s3.us-east-1_ncbi.public_gs.US""",SRX1782058,GSM2170456,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170456,iPSC line TkDA3-4,SRP075475,2016-05-20T14:17:00Z,1
SRR3555265,RNA-Seq,192,344537088,PRJNA322308,SAMN05150973,269729982,Definitive endoderm 1,GEO,public,"""fastq_sra_run.zq""","""s3_gs_ncbi""","""ncbi.public_s3.us-east-1_gs.US""",SRX1782059,GSM2170457,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-09T00:00:00Z,GSM2170457,iPSC line TkDA3-4,SRP075475,2016-05-20T14:18:00Z,1
