Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,Experiment,Experiment.1,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,major_cell_type,Organism,Platform,protocol,ReleaseDate,Sample Name,source_name,SRA Study,DATASTORE filetype,DATASTORE provider,DATASTORE region
SRR3637617,RNA-Seq,150,69777600,PRJNA324641,SAMN05211470,33000859,GEO,public,SRX1826160,BTN22,GSM2188962,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188962,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637618,RNA-Seq,150,67960950,PRJNA324641,SAMN05211470,31847941,GEO,public,SRX1826160,BTN22,GSM2188962,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188962,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637619,RNA-Seq,150,64631250,PRJNA324641,SAMN05211470,30804187,GEO,public,SRX1826160,BTN22,GSM2188962,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188962,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637620,RNA-Seq,150,67219200,PRJNA324641,SAMN05211470,31667855,GEO,public,SRX1826160,BTN22,GSM2188962,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188962,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637621,RNA-Seq,150,66641400,PRJNA324641,SAMN05211471,32938729,GEO,public,SRX1826161,BTN24,GSM2188963,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188963,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637622,RNA-Seq,150,65356650,PRJNA324641,SAMN05211471,32134002,GEO,public,SRX1826161,BTN24,GSM2188963,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188963,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637623,RNA-Seq,150,71215050,PRJNA324641,SAMN05211471,34945939,GEO,public,SRX1826161,BTN24,GSM2188963,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188963,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637624,RNA-Seq,150,67636200,PRJNA324641,SAMN05211471,33139595,GEO,public,SRX1826161,BTN24,GSM2188963,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188963,striatum,SRP076212,"""sra_fastq""",s3,s3.us-east-1
SRR3637625,RNA-Seq,150,36662850,PRJNA324641,SAMN05211472,18092558,GEO,public,SRX1826162,BTN24,GSM2188964,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188964,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637626,RNA-Seq,150,35118600,PRJNA324641,SAMN05211472,17199760,GEO,public,SRX1826162,BTN24,GSM2188964,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188964,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
SRR3637627,RNA-Seq,150,38477700,PRJNA324641,SAMN05211472,18809669,GEO,public,SRX1826162,BTN24,GSM2188964,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neuron,Mus musculus,ILLUMINA,Mic-scRNA-Seq,2016-07-18T00:00:00Z,GSM2188964,striatum,SRP076212,"""fastq_sra""",s3,s3.us-east-1
